"REF","S.DATE","CEN.DATE","E.DATE","Month","fMonth","decimal_day","HAUL.TM","binary_HAUL.TM","beta_HAUL.TM","SURF.TM","DIVE.TM","Waterlevel","Tide_cat","Tide_cat_abbr","Air_Temperature","Windspeed","Precipitation","solar_elevation","Night_Day","Sunrise","Sunset","Dawn","Dusk","Light_cat","moon_phase","Moon_cat","Sex","Weight_kg","Length_cm","Location"
"pv74-M62_Gamle-Erik-20",2020-09-19 00:00:00,2020-09-19 21:05:26,2020-09-20 00:00:00,9,"9",263,97.111111,1,0.97111111,2.777778,0.111111,53.7,"(50,56]","MSL",14.3,1.7,0,-24.8746782334554,"2_Night",2020-09-19 05:00:18,2020-09-19 17:28:57,2020-09-19 03:31:01,2020-09-19 18:58:04,"Night",0.935121229575306,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-20 00:00:00,2020-09-20 03:05:26,2020-09-20 00:00:00,9,"9",264,96.814815,1,0.96814815,2.777778,0.407407,29.4,"(20,36]","LAT",14.05,1.66666666666667,0,-15.2262979524577,"2_Night",2020-09-20 05:02:31,2020-09-20 17:26:01,2020-09-20 03:33:32,2020-09-20 18:54:52,"Night",0.880075676876295,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-20 00:00:00,2020-09-20 09:05:26,2020-09-20 00:00:00,9,"9",264,95.462963,1,0.95462963,0.925926,3.611111,38.8833333333333,"(36,39]","MLWS",13.3166666666667,2.9,0,26.7331181548559,"1_Day",2020-09-20 05:02:31,2020-09-20 17:26:01,2020-09-20 03:33:32,2020-09-20 18:54:52,"Day",0.880102339218493,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-20 00:00:00,2020-09-20 15:05:26,2020-09-20 00:00:00,9,"9",264,65.833333,0,0.65833333,19.444444,14.722222,35.3666666666667,"(20,36]","LAT",11.9333333333333,4.2,0,16.7929788441459,"1_Day",2020-09-20 05:02:31,2020-09-20 17:26:01,2020-09-20 03:33:32,2020-09-20 18:54:52,"Day",0.880082675230317,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-20 00:00:00,2020-09-20 21:05:26,2020-09-21 00:00:00,9,"9",264,100,1,1,0,0,45.6333333333333,"(42,50]","MLWN",14.95,6.28333333333333,0,-25.2719216357507,"2_Night",2020-09-20 05:02:31,2020-09-20 17:26:01,2020-09-20 03:33:32,2020-09-20 18:54:52,"Night",0.880089762051002,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-21 00:00:00,2020-09-21 03:05:26,2020-09-21 00:00:00,9,"9",265,97,1,0.97,2.777778,0.222222,43.2833333333333,"(42,50]","MLWN",15.1166666666667,5.21666666666667,0,-15.5329658853128,"2_Night",2020-09-21 05:04:45,2020-09-21 17:23:05,2020-09-21 03:36:02,2020-09-21 18:51:41,"Night",0.811992950766077,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-21 00:00:00,2020-09-21 09:05:26,2020-09-21 00:00:00,9,"9",265,100,1,1,0,0,41.3333333333333,"(39,42]","MLW",15.1,3.41666666666667,0,26.3913582516759,"1_Day",2020-09-21 05:04:45,2020-09-21 17:23:05,2020-09-21 03:36:02,2020-09-21 18:51:41,"Day",0.811957204220465,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-21 00:00:00,2020-09-21 15:05:26,2020-09-21 00:00:00,9,"9",265,89.814815,1,0.89814815,8,2.185185,50.4666666666667,"(50,56]","MSL",15.1,9.75,0,16.4078783927453,"1_Day",2020-09-21 05:04:45,2020-09-21 17:23:05,2020-09-21 03:36:02,2020-09-21 18:51:41,"Day",0.812015100986918,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-21 00:00:00,2020-09-21 21:05:26,2020-09-22 00:00:00,9,"9",265,95.611111,1,0.95611111,3.944444,0.444444,52.15,"(50,56]","MSL",15.1,16.3333333333333,0,-25.6694105367698,"2_Night",2020-09-21 05:04:45,2020-09-21 17:23:05,2020-09-21 03:36:02,2020-09-21 18:51:41,"Night",0.811977231592262,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-22 00:00:00,2020-09-22 03:05:26,2020-09-22 00:00:00,9,"9",266,100,1,1,0,0,58.15,"(58,59]","NN1954",14.2666666666667,14.7833333333333,0,-15.8397637438235,"2_Night",2020-09-22 05:06:59,2020-09-22 17:20:10,2020-09-22 03:38:31,2020-09-22 18:48:31,"Night",0.733258710701296,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-22 00:00:00,2020-09-22 09:05:26,2020-09-22 00:00:00,9,"9",266,100,1,1,0,0,45.1,"(42,50]","MLWN",12.8666666666667,11.8666666666667,0,26.048830174842,"1_Day",2020-09-22 05:06:59,2020-09-22 17:20:10,2020-09-22 03:38:31,2020-09-22 18:48:31,"Day",0.733316627965345,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-22 00:00:00,2020-09-22 15:05:26,2020-09-22 00:00:00,9,"9",266,96.925926,1,0.96925926,3.074074,0,55.0333333333333,"(50,56]","MSL",13.3,9.25,0,16.0226877307967,"1_Day",2020-09-22 05:06:59,2020-09-22 17:20:10,2020-09-22 03:38:31,2020-09-22 18:48:31,"Day",0.733257938928168,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-22 00:00:00,2020-09-22 21:05:26,2020-09-23 00:00:00,9,"9",266,83.092593,1,0.83092593,12.666667,4.240741,47.9666666666667,"(42,50]","MLWN",14.6166666666667,12.6666666666667,0,-26.067027696946,"2_Night",2020-09-22 05:06:59,2020-09-22 17:20:10,2020-09-22 03:38:31,2020-09-22 18:48:31,"Night",0.733254586327478,NA,"M",62,128,"Jomfruland_2020"
"pv74-M62_Gamle-Erik-20",2020-09-23 00:00:00,2020-09-23 03:05:26,2020-09-23 00:00:00,9,"9",267,94.037037,1,0.94037037,5.555556,0.407407,60.8,"(59,61]","MHW",14.8666666666667,11.1166666666667,0,-16.1466444057087,"2_Night",2020-09-23 05:09:12,2020-09-23 17:17:15,2020-09-23 03:40:59,2020-09-23 18:45:22,"Night",0.646437692094427,NA,"M",62,128,"Jomfruland_2020"
