"ref","S.DATE","E.DATE","LAT","LON"
"gp10-685-07","31/08/2007 18:15","31/08/2007 19:36",68.9953,15.0511
"gp10-685-07","01/09/2007 07:13","01/09/2007 08:59",69.0207,15.0631
"gp10-685-07","01/09/2007 17:54","01/09/2007 19:37",69.0209,15.062
"gp10-685-07","01/09/2007 20:16","01/09/2007 21:19",69.0211,15.0618
"gp10-685-07","02/09/2007 06:58","02/09/2007 10:29",69.0209,15.0617
"gp10-685-07","02/09/2007 10:31","02/09/2007 11:28",69.0219,15.0636
"gp10-685-07","02/09/2007 19:00","03/09/2007 00:57",69.0211,15.0617
"gp10-685-07","03/09/2007 06:51","03/09/2007 13:42",69.021,15.0597
"gp10-685-07","03/09/2007 19:02","04/09/2007 01:35",69.0208,15.0607
"gp10-685-07","04/09/2007 01:36","04/09/2007 02:21",69.0209,15.0601
"gp10-685-07","04/09/2007 07:30","04/09/2007 10:37",69.0212,15.0613
"gp10-685-07","04/09/2007 11:16","04/09/2007 14:23",69.0208,15.0614
"gp10-685-07","04/09/2007 19:56","05/09/2007 02:05",69.0206,15.0596
"gp10-685-07","06/09/2007 01:51","06/09/2007 02:06",69.0209,15.0609
"gp10-685-07","06/09/2007 02:06","06/09/2007 02:44",69.0212,15.0626
"gp10-685-07","06/09/2007 13:17","06/09/2007 14:52",69.0212,15.0613
"gp10-685-07","06/09/2007 23:22","07/09/2007 03:14",69.0212,15.0597
"gp10-685-07","07/09/2007 03:34","07/09/2007 05:01",69.0211,15.0608
"gp10-685-07","07/09/2007 16:16","07/09/2007 18:20",69.0209,15.0613
"gp10-685-07","08/09/2007 00:54","08/09/2007 06:51",69.0218,15.0605
"gp10-685-07","08/09/2007 13:49","08/09/2007 19:16",69.0208,15.059
"gp10-685-07","09/09/2007 15:20","09/09/2007 19:30",69.0211,15.0606
"gp10-685-07","10/09/2007 15:19","10/09/2007 16:48",69.0213,15.0633
"gp10-685-07","10/09/2007 20:11","10/09/2007 20:31",69.0206,15.0603
"gp10-685-07","11/09/2007 19:31","11/09/2007 19:57",69.0209,15.0613
"gp10-685-07","12/09/2007 20:45","12/09/2007 21:23",69.0211,15.0595
"gp10-685-07","12/09/2007 21:25","12/09/2007 21:52",69.0212,15.0595
"gp10-685-07","13/09/2007 19:14","13/09/2007 21:27",69.0207,15.0614
"gp10-685-07","14/09/2007 20:13","14/09/2007 21:46",69.0211,15.0604
"gp10-685-07","15/09/2007 09:41","15/09/2007 10:37",69.0212,15.0626
"gp10-685-07","15/09/2007 17:18","15/09/2007 22:27",69.0212,15.0599
"gp10-685-07","16/09/2007 19:06","16/09/2007 22:37",69.0215,15.0609
"gp10-685-07","16/09/2007 22:37","16/09/2007 23:09",69.0214,15.0613
"gp10-685-07","17/09/2007 18:22","17/09/2007 23:13",69.0209,15.0606
"gp10-685-07","18/09/2007 20:55","18/09/2007 21:43",69.0212,15.0611
"gp10-685-07","19/09/2007 18:55","19/09/2007 20:41",69.0217,15.0598
"gp10-685-07","19/09/2007 20:40","20/09/2007 01:31",69.0213,15.0599
