"REF","S.DATE","E.DATE","lat","lon"
"pv35b-05-11","25/08/2017 13:14","25/08/2017 14:46",58.84975433,9.551199913
"pv35b-05-11","25/08/2017 16:40","25/08/2017 16:52",58.84986877,9.550499916
"pv35b-05-11","25/08/2017 19:41","25/08/2017 22:12",58.86861038,9.563085079
"pv35b-05-11","25/08/2017 23:17","26/08/2017 06:50",58.8703661,9.556207657
"pv35b-05-11","26/08/2017 21:11","27/08/2017 07:44",58.9382103,9.632403946
"pv35b-05-11","27/08/2017 18:07","28/08/2017 10:01",58.93816503,9.632314841
"pv35b-05-11","28/08/2017 18:21","28/08/2017 20:13",58.93825912,9.632430077
"pv35b-05-11","28/08/2017 20:26","28/08/2017 20:44",58.9381485,9.63228035
"pv35b-05-11","28/08/2017 21:31","28/08/2017 23:35",58.93811035,9.632639885
"pv35b-05-11","29/08/2017 01:25","29/08/2017 05:38",58.93826103,9.632419586
"pv35b-05-11","29/08/2017 17:50","29/08/2017 21:03",58.93819427,9.632490158
"pv35b-05-11","29/08/2017 21:40","29/08/2017 22:39",58.93808556,9.632579803
"pv35b-05-11","30/08/2017 01:01","30/08/2017 05:58",58.93800545,9.63244009
"pv35b-05-11","30/08/2017 19:38","30/08/2017 21:45",58.9380188,9.632510185
"pv35b-05-11","30/08/2017 21:47","31/08/2017 08:20",58.93820801,9.632355881
"pv35b-05-11","31/08/2017 21:09","31/08/2017 23:04",58.93785095,9.632450104
"pv35b-05-11","31/08/2017 23:10","01/09/2017 08:19",58.93647766,9.630820274
"pv35b-05-11","02/09/2017 02:39","02/09/2017 10:48",58.93817425,9.632482529
"pv35b-05-11","03/09/2017 19:37","04/09/2017 12:19",58.93815804,9.632541656
"pv35b-05-11","05/09/2017 18:50","05/09/2017 23:24",58.96759415,9.670525074
"pv35b-05-11","07/09/2017 19:38","07/09/2017 23:21",58.96740341,9.668854713
"pv35b-05-11","09/09/2017 15:00","09/09/2017 15:47",58.9382019,9.632760048
"pv35b-05-11","09/09/2017 16:10","09/09/2017 16:55",58.93820953,9.632439613
"pv35b-05-11","09/09/2017 17:09","10/09/2017 07:51",58.93811862,9.632443428
"pv35b-05-11","12/09/2017 18:49","12/09/2017 20:24",58.93746185,9.631690025
"pv35b-05-11","12/09/2017 22:54","13/09/2017 04:33",58.93820381,9.632380009
"pv35b-05-11","14/09/2017 18:43","15/09/2017 09:25",58.93814596,9.632458369
"pv35b-05-11","16/09/2017 09:55","16/09/2017 11:50",58.9375,9.63160038
"pv35b-05-11","17/09/2017 10:10","17/09/2017 12:41",58.96760941,9.670660019
"pv35b-05-11","18/09/2017 09:59","18/09/2017 11:29",58.93806839,9.632940292
"pv35b-05-11","18/09/2017 13:10","19/09/2017 00:19",58.93816223,9.632500076
"pv35b-05-11","21/09/2017 19:16","22/09/2017 02:01",58.96541087,9.665879885
"pv35b-05-11","24/09/2017 00:34","24/09/2017 03:47",58.96741867,9.669085026
"pv35b-05-11","24/09/2017 03:49","24/09/2017 04:55",58.96743011,9.668889999
"pv35b-05-11","24/09/2017 15:54","25/09/2017 05:00",58.93818474,9.632447481
"pv35b-05-11","26/09/2017 15:58","26/09/2017 21:31",58.93822352,9.632393519
"pv35b-05-11","30/09/2017 17:34","30/09/2017 20:47",58.93829918,9.632279873
"pv35b-05-11","01/10/2017 19:25","01/10/2017 21:11",58.96751022,9.670319557
"pv35b-05-11","02/10/2017 19:07","02/10/2017 20:50",58.96757889,9.670780182
"pv35b-05-11","04/10/2017 00:34","04/10/2017 04:32",58.96757889,9.670889854
"pv35b-05-11","04/10/2017 18:28","04/10/2017 18:52",58.93758011,9.631710052
"pv35b-05-11","04/10/2017 18:58","04/10/2017 19:49",58.93751907,9.631690025
"pv35b-05-11","05/10/2017 18:26","06/10/2017 01:47",58.93748601,9.631563187
"pv35b-05-11","06/10/2017 22:46","07/10/2017 05:49",58.93754069,9.631523132
"pv35b-05-11","07/10/2017 19:55","08/10/2017 03:34",58.93819046,9.632390022
"pv35b-05-11","08/10/2017 23:10","09/10/2017 05:01",58.93812943,9.632786751
"pv35b-05-11","09/10/2017 21:01","10/10/2017 04:22",58.93820318,9.63247331
"pv35b-05-11","10/10/2017 22:49","11/10/2017 05:46",58.93819682,9.63236014
"pv35b-05-11","12/10/2017 12:35","12/10/2017 14:07",58.93817902,9.632769585
"pv35b-05-11","12/10/2017 14:52","12/10/2017 15:04",58.93817902,9.632679939
"pv35b-05-11","12/10/2017 15:21","12/10/2017 15:53",58.93745041,9.631549835
"pv35b-05-11","12/10/2017 16:20","13/10/2017 05:38",58.93748856,9.631738345
"pv35b-05-11","13/10/2017 23:16","14/10/2017 01:38",58.93743896,9.631620407
"pv35b-05-11","14/10/2017 19:51","15/10/2017 05:18",58.93755054,9.631695032
"pv35b-05-11","15/10/2017 20:30","16/10/2017 00:04",58.93825531,9.631990433
"pv35b-05-11","16/10/2017 18:53","17/10/2017 00:26",58.96750005,9.670639992
"pv35b-05-11","17/10/2017 17:16","17/10/2017 22:49",58.93752035,9.631676674
"pv35b-05-11","18/10/2017 18:06","19/10/2017 03:15",58.93812752,9.6322124
"pv35b-05-11","20/10/2017 11:59","20/10/2017 13:11",58.93819046,9.632499695
"pv35b-05-11","20/10/2017 14:30","20/10/2017 15:36",58.93811035,9.632309914
"pv35b-05-11","22/10/2017 14:06","22/10/2017 15:58",58.93817902,9.632490158
"pv35b-05-11","23/10/2017 15:01","23/10/2017 17:26",58.88988113,9.579219818
"pv35b-05-11","25/10/2017 02:08","25/10/2017 06:48",58.93785477,9.632100105
"pv35b-05-11","25/10/2017 16:40","25/10/2017 21:11",58.93760872,9.632274628
"pv35b-05-11","25/10/2017 23:55","26/10/2017 06:10",58.93753306,9.631623586
"pv35b-05-11","26/10/2017 15:27","26/10/2017 18:13",58.93761444,9.631669998
"pv35b-05-11","26/10/2017 18:37","26/10/2017 19:30",58.93833923,9.632610321
"pv35b-05-11","26/10/2017 23:30","27/10/2017 07:03",58.93679047,9.631073316
"pv35b-05-11","27/10/2017 16:20","27/10/2017 18:09",58.93743896,9.631440163
"pv35b-05-11","28/10/2017 15:53","28/10/2017 21:50",58.93751017,9.631743749
"pv35b-05-11","29/10/2017 16:26","30/10/2017 04:44",58.9374876,9.631682634
"pv35b-05-11","30/10/2017 17:46","31/10/2017 01:19",58.96756999,9.670346578
"pv35b-05-11","31/10/2017 20:22","01/11/2017 00:47",58.93805885,9.632925034
"pv35b-05-11","01/11/2017 23:58","02/11/2017 01:35",58.89567947,9.558659554
"pv35b-05-11","02/11/2017 18:21","03/11/2017 05:51",58.93816223,9.632234192
"pv35b-05-11","03/11/2017 19:20","03/11/2017 19:41",58.93817902,9.632479668
"pv35b-05-11","04/11/2017 16:53","04/11/2017 19:36",58.9381485,9.632369995
"pv35b-05-11","05/11/2017 19:14","06/11/2017 05:05",58.93813992,9.63250494
"pv35b-05-11","06/11/2017 16:41","07/11/2017 00:44",58.9381876,9.632382393
"pv35b-05-11","07/11/2017 16:59","08/11/2017 02:56",58.93820477,9.632385015
"pv35b-05-11","08/11/2017 18:38","08/11/2017 18:58",58.9382782,9.632300377
"pv35b-05-11","08/11/2017 21:20","08/11/2017 22:14",58.93824005,9.632439613
"pv35b-05-11","09/11/2017 16:49","09/11/2017 17:48",58.9382782,9.632439613
"pv35b-05-11","09/11/2017 18:09","09/11/2017 19:02",58.93745041,9.63158989
