"REF","S.DATE","CEN.DATE","E.DATE","Month","fMonth","decimal_day","HAUL.TM","binary_HAUL.TM","beta_HAUL.TM","SURF.TM","DIVE.TM","Waterlevel","Tide_cat","Tide_cat_abbr","Air_Temperature","Windspeed","Precipitation","solar_elevation","Night_Day","Sunrise","Sunset","Dawn","Dusk","Light_cat","moon_phase","Moon_cat","Sex","Weight_kg","Length_cm","Location"
"pv68-F53_Iris-14",2019-11-14 16:00:00,2019-11-14 17:00:00,2019-11-14 18:00:00,11,"11",318,0,0,0,22.2,77.8,74.6,"(64,80]","HAT",4.6,5.4,0.7,-15.3688850188153,"2_Night",2019-11-14 07:08:17,2019-11-14 14:54:59,2019-11-14 05:30:34,2019-11-14 16:32:51,"Night",0.96532638424687,NA,"F",53,120,"Bolaerne_2019"
"pv68-F53_Iris-14",2019-11-14 18:00:00,2019-11-14 19:00:00,2019-11-14 20:00:00,11,"11",318,0,0,0,30.8,69.2,72.3,"(64,80]","HAT",4.6,5.4,1.35,-30.5378965177494,"2_Night",2019-11-14 07:08:17,2019-11-14 14:54:59,2019-11-14 05:30:34,2019-11-14 16:32:51,"Night",0.965311039203433,NA,"F",53,120,"Bolaerne_2019"
"pv68-F53_Iris-14",2019-11-14 20:00:00,2019-11-14 21:00:00,2019-11-14 22:00:00,11,"11",318,0,0,0,22.9,77.1,61.2,"(61,64]","MHWS",4.88,4,0.3,-43.4068492938772,"2_Night",2019-11-14 07:08:17,2019-11-14 14:54:59,2019-11-14 05:30:34,2019-11-14 16:32:51,"Night",0.965323978536064,NA,"F",53,120,"Bolaerne_2019"
"pv68-F53_Iris-14",2019-11-14 22:00:00,2019-11-14 23:00:00,2019-11-15 00:00:00,11,"11",318,0,0,0,17.7,82.3,46.8,"(42,50]","MLWN",4.82,3.6,0,-48.9791134794591,"2_Night",2019-11-14 07:08:17,2019-11-14 14:54:59,2019-11-14 05:30:34,2019-11-14 16:32:51,"Night",0.965331606853428,NA,"F",53,120,"Bolaerne_2019"
"pv68-F53_Iris-14",2019-11-15 00:00:00,2019-11-15 01:00:00,2019-11-15 02:00:00,11,"11",319,0,0,0,16.6,83.4,45.6,"(42,50]","MLWN",4.5,4.26666666666667,0.05,-43.7963902424879,"2_Night",2019-11-15 07:10:43,2019-11-15 14:52:53,2019-11-15 05:32:32,2019-11-15 16:31:13,"Night",0.991056313342263,NA,"F",53,120,"Bolaerne_2019"
"pv68-F53_Iris-14",2019-11-15 02:00:00,2019-11-15 03:00:00,2019-11-15 04:00:00,11,"11",319,0,0,0,36,64,49.5,"(42,50]","MLWN",3.9,4.26666666666667,0,-31.1220280226116,"2_Night",2019-11-15 07:10:43,2019-11-15 14:52:53,2019-11-15 05:32:32,2019-11-15 16:31:13,"Night",0.991057729890013,NA,"F",53,120,"Bolaerne_2019"
"pv68-F53_Iris-14",2019-11-15 04:00:00,2019-11-15 05:00:00,2019-11-15 06:00:00,11,"11",319,0,0,0,26.4,73.6,51.8,"(50,56]","MSL",3.96,5.23333333333333,0,-16.0046961568553,"2_Night",2019-11-15 07:10:43,2019-11-15 14:52:53,2019-11-15 05:32:32,2019-11-15 16:31:13,"Night",0.991053103781982,NA,"F",53,120,"Bolaerne_2019"
"pv68-F53_Iris-14",2019-11-15 06:00:00,2019-11-15 07:00:00,2019-11-15 08:00:00,11,"11",319,0,0,0,20.1,79.9,45.9,"(42,50]","MLWN",3.9,4.8,0,-1.7760676391637,"2_Night",2019-11-15 07:10:43,2019-11-15 14:52:53,2019-11-15 05:32:32,2019-11-15 16:31:13,"Dawn",0.991055520943849,NA,"F",53,120,"Bolaerne_2019"
"pv68-F53_Iris-14",2019-11-15 08:00:00,2019-11-15 09:00:00,2019-11-15 10:00:00,11,"11",319,0,0,0,17.5,82.5,28.6,"(20,36]","LAT",4,4.96666666666667,0,8.4047921169968,"1_Day",2019-11-15 07:10:43,2019-11-15 14:52:53,2019-11-15 05:32:32,2019-11-15 16:31:13,"Day",0.991059197728069,NA,"F",53,120,"Bolaerne_2019"
"pv68-F53_Iris-14",2019-11-15 10:00:00,2019-11-15 11:00:00,2019-11-15 12:00:00,11,"11",319,0,0,0,17.4,82.6,13.8,"(-14,20]","LowLow",4.4,5.7,0,12.25730375179,"1_Day",2019-11-15 07:10:43,2019-11-15 14:52:53,2019-11-15 05:32:32,2019-11-15 16:31:13,"Day",0.991058662946383,NA,"F",53,120,"Bolaerne_2019"
